"Id","Internal Name","External Name","Website","Industry","Recurrent Supplier","Supplier Since","Number of Employees","City","Street","Zip","State"
"1","VPN Services","Secure VPN Provider","www.vpn.com","Communication","true","22/2/2000","2000","Paris","Olala","","France"
"2","Energy Provider","ENEL","www.enel.com","Energy","true","22/2/1990","100","Paris","Olala","","France"
"3","HR Provider","HR Expert","www.hr.com","Human Resources","true","10/2/2010","100","Paris","Olala","","France"
"4","HR Provider","HR Top Recruitment","www.hr.com","Human Resources","true","10/2/2017","100","Paris","Olala","","France"
"5","Internet Provider","InterPower Group","www.interpower.com","Telecom","true","10/2/2010","1000","Barcelona","Olala","","Spain"
"6","Bank","Smart Bank","www.smartbank.com","Banking","true","23/8/2010","100","New York","Times","","USA"
"7","Wood Provider","Creative Wood","www.creativewood.com","Wood","true","10/2/2019","100","Berlin","Hartmangrh","","Germany"
"8","Metal Provider","Modern Metal","www.modernmetal.com","Metal","true","10/2/2019","1090","Berlin","Hartmangrh","","Germany"
"9","Food Provider","Hungry","www.hungry.com","Food","true","10/2/2018","100","Berlin","Hartmangrh","","Germany"
"10","Vegetables Provider","Angry Vegetables","www.angryvegi.com","Agriculture","true","07/2/2018","200","Berlin","Hartmangrh","","Germany"
"11","Trainers","Expert Trainers","www.trainers.com","Education","true","07/2/2018","200","Berlin","Hartmangrh","","Germany"
"12","Contractors 1","Teams","www.temas.com","Services","true","07/2/2018","200","Berlin","Hartmangrh","","Germany"
"13","Trainers 2","Tehnical Trainers","www.tehnicaltrainers.com","Education","true","07/2/2018","200","Berlin","Hartmangrh","","Germany"
"14","Trainers 3","Teoretic Trainers","www.trainers.com","Education","true","07/2/2018","200","Berlin","Hartmangrh","","Germany"
"15","Courses","Pragmatic","www.pragmatic.com","Education","true","07/2/2018","200","Berlin","Hartmangrh","","Germany"
"16","Contractors 3","Zodiac","www.zodiac.com","Services","true","07/7/2016","500","Berlin","Hartmangrh","","Germany"
"17","Security","Secure Systems","www.securesystems.com","Services","true","21/03/2015","200","Berlin","Hartmangrh","","Germany"
"18","Consultants","Schultz Ltd","www.schultz.com","Services","true","07/2/2017","200","Berlin","Hartmangrh","","Germany"
"19","Consultants 2","Purdy LLC","www.purdy.com","Services","true","07/2/2017","200","Berlin","Hartmangrh","","Germany"
"20","Devices Rental","Heavy LLC","www.heavy.com","Rentals","true","07/04/2010","400","Berlin","Hartmangrh","","Germany"
"21","Accounting","Canoe LLC","www.canoe.com","Accounting","true","07/02/2000","200","Berlin","Hartmangrh","","Germany"
"22","Accounting 2","Gemini LLC","www.gemini.com","Accounting","true","07/02/2000","200","Berlin","Hartmangrh","","Germany"
"23","Maintanance","sprinty LLC","www.sprinty.com","IT","true","07/02/2009","200","Berlin","Hartmangrh","","Germany"
"24","Support","ACC LLC","www.canoe.com","IT","true","07/12/2009","200","Berlin","Hartmangrh","","Germany"
"25","Finance","Fast & Finnace LLC","www.fastandfinance.com","Finance","true","06/06/2010","20","Berlin","Hartmangrh","","Germany"
"26","Marketing","Big Market LLC","www.bigmarket.com","Marketing","true","07/09/2006","200","Berlin","Hartmangrh","","Germany"
"27","Management","Safe&Sound LLC","www.safeandsound.com","Management","true","07/09/2006","31","Berlin","Hartmangrh","","Germany"
"28","Statistics","Big Market LLC","www.bigmarket.com","Statistics","true","07/09/2006","200","Berlin","Hartmangrh","","Germany"
"29","Statistics","Small Market LLC","www.bigmarket.com","Statistics","true","07/09/2006","200","Berlin","Hartmangrh","","Germany"
"30","Cleaning","Godzilla LLC","www.godzilla.com","Services","true","07/09/2006","200","Berlin","Hartmangrh","","Germany"